Title,Presenter,Room,Capacity,Periods,Description
Robotics Lab,Mr. Harris,Engineering 201,18,"1,2,3,4",Fictional demo seminar
Sports Medicine,Nurse Patel,Health 114,18,"1,2,3,4",Fictional demo seminar
Local Journalism,Ms. Baker,Library Lab,18,"1,2,3,4",Fictional demo seminar
Intro to Architecture,Mr. Diaz,Art 108,18,"1,2,3,4",Fictional demo seminar
Climate Science,Dr. Okafor,Science 302,18,"1,2,3,4",Fictional demo seminar
Film Scoring,Mr. Chen,Music 120,18,"1,2,3,4",Fictional demo seminar
Emergency Medicine,Dr. Silva,Science 305,18,"1,2,3,4",Fictional demo seminar
Creative Coding,Ms. Rivera,Computer Lab,18,"1,2,3,4",Fictional demo seminar
Marine Biology,Dr. Brooks,Science 210,18,"1,2,3,4",Fictional demo seminar
Personal Finance,Ms. Williams,Room 214,18,"1,2,3,4",Fictional demo seminar
Mock Trial,Attorney Lewis,Auditorium A,18,"1,2,3,4",Fictional demo seminar
Digital Photography,Mr. Kim,Media Studio,18,"1,2,3,4",Fictional demo seminar
Sports Analytics,Coach Morgan,Room 118,18,"1,2,3,4",Fictional demo seminar
Psychology in Action,Dr. Green,Room 220,18,"1,2,3,4",Fictional demo seminar
Graphic Design,Ms. Thompson,Art 106,18,"1,2,3,4",Fictional demo seminar
Entrepreneurship,Ms. Jackson,Room 202,18,"1,2,3,4",Fictional demo seminar
Forensic Science,Dr. Martinez,Science 308,18,"1,2,3,4",Fictional demo seminar
Sustainable Engineering,Mr. Wilson,Maker Space,18,"1,2,3,4",Fictional demo seminar
